from,to,time,week
handan,fenglin,06:55,weekday
handan,fenglin,07:10,weekday
fenglin,handan,07:10,weekday
fenglin,handan,07:20,weekday
handan,fenglin,08:15,weekday
fenglin,handan,08:15,weekday
handan,fenglin,09:15,weekday
fenglin,handan,09:15,weekday
handan,fenglin,10:15,weekday
handan,fenglin,11:00,weekday
fenglin,handan,11:00,weekday
fenglin,handan,11:45,weekday
fenglin,handan,12:15,weekday
handan,fenglin,12:30,weekday
handan,fenglin,13:00,weekday
fenglin,handan,13:00,weekday
handan,fenglin,14:00,weekday
fenglin,handan,14:00,weekday
fenglin,handan,14:30,weekday
handan,fenglin,15:30,weekday
fenglin,handan,15:30,weekday
handan,fenglin,16:00,weekday
fenglin,handan,16:00,weekday
handan,fenglin,16:55,weekday
fenglin,handan,16:55,weekday
handan,fenglin,17:10,weekday
fenglin,handan,17:10,weekday
fenglin,handan,17:25,weekday
handan,fenglin,18:00,weekday
fenglin,handan,18:20,weekday
handan,fenglin,19:30,weekday
handan,fenglin,20:20,weekday
fenglin,handan,20:20,weekday
fenglin,handan,21:15,weekday
handan,fenglin,21:25,weekday
fenglin,handan,21:50,weekday
handan,fenglin,08:00,weekend
fenglin,handan,09:00,weekend
handan,fenglin,16:30,weekend
fenglin,handan,17:30,weekend
handan,jiangwan,07:00,weekday
jiangwan,handan,07:10,weekday
jiangwan,handan,07:20,weekday
handan,jiangwan,07:30,weekday
jiangwan,handan,07:30,weekday
handan,jiangwan,07:40,weekday
jiangwan,handan,07:40,weekday
jiangwan,handan,07:50,weekday
handan,jiangwan,08:00,weekday
jiangwan,handan,08:00,weekday
handan,jiangwan,08:15,weekday
jiangwan,handan,08:15,weekday
handan,jiangwan,08:30,weekday
jiangwan,handan,08:30,weekday
jiangwan,handan,08:45,weekday
handan,jiangwan,09:00,weekday
jiangwan,handan,09:00,weekday
jiangwan,handan,09:15,weekday
handan,jiangwan,09:30,weekday
jiangwan,handan,09:30,weekday
handan,jiangwan,10:00,weekday
jiangwan,handan,10:00,weekday
handan,jiangwan,10:20,weekday
jiangwan,handan,10:30,weekday
handan,jiangwan,11:00,weekday
jiangwan,handan,11:10,weekday
handan,jiangwan,11:30,weekday
jiangwan,handan,11:40,weekday
handan,jiangwan,11:45,weekday
handan,jiangwan,12:00,weekday
jiangwan,handan,12:00,weekday
jiangwan,handan,12:15,weekday
handan,jiangwan,12:30,weekday
jiangwan,handan,12:30,weekday
jiangwan,handan,12:40,weekday
handan,jiangwan,13:00,weekday
jiangwan,handan,13:00,weekday
handan,jiangwan,13:30,weekday
jiangwan,handan,13:30,weekday
handan,jiangwan,14:00,weekday
jiangwan,handan,14:00,weekday
handan,jiangwan,14:30,weekday
jiangwan,handan,14:45,weekday
handan,jiangwan,15:00,weekday
jiangwan,handan,15:15,weekday
handan,jiangwan,15:30,weekday
jiangwan,handan,15:30,weekday
handan,jiangwan,16:00,weekday
jiangwan,handan,16:00,weekday
handan,jiangwan,16:15,weekday
handan,jiangwan,16:20,weekday
handan,jiangwan,16:30,weekday
jiangwan,handan,16:30,weekday
jiangwan,handan,16:55,weekday
handan,jiangwan,17:00,weekday
jiangwan,handan,17:00,weekday
jiangwan,handan,17:10,weekday
handan,jiangwan,17:15,weekday
handan,jiangwan,17:25,weekday
jiangwan,handan,17:30,weekday
handan,jiangwan,17:35,weekday
handan,jiangwan,17:45,weekday
handan,jiangwan,18:00,weekday
jiangwan,handan,18:00,weekday
handan,jiangwan,18:30,weekday
jiangwan,handan,19:00,weekday
handan,jiangwan,20:00,weekday
jiangwan,handan,20:00,weekday
handan,jiangwan,20:20,weekday
handan,jiangwan,20:30,weekday
jiangwan,handan,20:30,weekday
handan,jiangwan,20:50,weekday
handan,jiangwan,21:00,weekday
jiangwan,handan,21:00,weekday
handan,jiangwan,21:20,weekday
jiangwan,handan,21:20,weekday
handan,jiangwan,21:40,weekday
jiangwan,handan,21:45,weekday
handan,jiangwan,22:00,weekday
jiangwan,handan,22:10,weekday
handan,jiangwan,22:15,weekday
handan,jiangwan,22:30,weekday
jiangwan,handan,22:30,weekday
handan,jiangwan,07:40,weekend
jiangwan,handan,07:40,weekend
jiangwan,handan,08:00,weekend
handan,jiangwan,08:20,weekend
jiangwan,handan,08:20,weekend
handan,jiangwan,08:40,weekend
jiangwan,handan,08:40,weekend
handan,jiangwan,09:00,weekend
jiangwan,handan,09:00,weekend
handan,jiangwan,09:20,weekend
jiangwan,handan,09:20,weekend
handan,jiangwan,09:40,weekend
jiangwan,handan,09:40,weekend
handan,jiangwan,10:00,weekend
jiangwan,handan,10:20,weekend
handan,jiangwan,10:50,weekend
jiangwan,handan,11:50,weekend
handan,jiangwan,12:20,weekend
jiangwan,handan,14:30,weekend
handan,jiangwan,15:00,weekend
jiangwan,handan,16:30,weekend
handan,jiangwan,17:00,weekend
jiangwan,handan,17:30,weekend
handan,jiangwan,20:15,weekend
jiangwan,handan,20:40,weekend
handan,jiangwan,21:00,weekend
jiangwan,handan,21:20,weekend
handan,jiangwan,21:45,weekend
jiangwan,handan,22:10,weekend
handan,jiangwan,22:30,weekend
jiangwan,handan,22:30,weekend
zhangjiang,handan,07:00,weekday
handan,zhangjiang,07:10,weekday
zhangjiang,handan,07:15,weekday
handan,zhangjiang,07:40,weekday
handan,zhangjiang,08:00,weekday
zhangjiang,handan,08:00,weekday
handan,zhangjiang,08:30,weekday
zhangjiang,handan,08:40,weekday
handan,zhangjiang,09:00,weekday
zhangjiang,handan,09:00,weekday
handan,zhangjiang,10:00,weekday
zhangjiang,handan,10:00,weekday
handan,zhangjiang,11:50,weekday
zhangjiang,handan,11:50,weekday
zhangjiang,handan,12:15,weekday
handan,zhangjiang,12:30,weekday
zhangjiang,handan,12:40,weekday
handan,zhangjiang,12:45,weekday
zhangjiang,handan,14:15,weekday
handan,zhangjiang,14:30,weekday
zhangjiang,handan,15:20,weekday
handan,zhangjiang,15:30,weekday
zhangjiang,handan,15:40,weekday
zhangjiang,handan,16:00,weekday
handan,zhangjiang,16:15,weekday
zhangjiang,handan,16:30,weekday
zhangjiang,handan,17:00,weekday
handan,zhangjiang,17:20,weekday
zhangjiang,handan,17:20,weekday
handan,zhangjiang,18:30,weekday
zhangjiang,handan,18:30,weekday
handan,zhangjiang,20:20,weekday
handan,zhangjiang,20:30,weekday
handan,zhangjiang,21:00,weekday
zhangjiang,handan,21:10,weekday
handan,zhangjiang,21:20,weekday
handan,zhangjiang,08:30,weekend
zhangjiang,handan,09:20,weekend
handan,zhangjiang,16:30,weekend
zhangjiang,handan,17:30,weekend
jiangwan,zhangjiang,07:25,weekday
zhangjiang,jiangwan,08:45,weekday
jiangwan,zhangjiang,15:45,weekday
zhangjiang,jiangwan,17:00,weekday
fenglin,zhangjiang,07:00,weekday
fenglin,zhangjiang,07:30,weekday
zhangjiang,fenglin,07:50,weekday
fenglin,zhangjiang,09:00,weekday
fenglin,zhangjiang,12:15,weekday
zhangjiang,fenglin,12:15,weekday
fenglin,zhangjiang,13:30,weekday
zhangjiang,fenglin,15:00,weekday
fenglin,zhangjiang,16:30,weekday
zhangjiang,fenglin,17:00,weekday
fenglin,zhangjiang,19:00,weekday
zhangjiang,fenglin,19:00,weekday
