from,to,time,amount,week
handan,fenglin,06:55,1,weekday
handan,fenglin,07:10,1,weekday
fenglin,handan,07:10,1,weekday
fenglin,handan,07:20,1,weekday
handan,fenglin,08:15,1,weekday
fenglin,handan,08:15,1,weekday
handan,fenglin,09:15,1,weekday
fenglin,handan,09:15,1,weekday
handan,fenglin,10:15,1,weekday
handan,fenglin,11:00,1,weekday
fenglin,handan,11:00,1,weekday
fenglin,handan,11:45,1,weekday
fenglin,handan,12:15,1,weekday
handan,fenglin,12:30,1,weekday
handan,fenglin,13:00,1,weekday
fenglin,handan,13:00,1,weekday
handan,fenglin,14:00,1,weekday
fenglin,handan,14:00,1,weekday
fenglin,handan,14:30,1,weekday
handan,fenglin,15:30,1,weekday
fenglin,handan,15:30,1,weekday
handan,fenglin,16:00,1,weekday
fenglin,handan,16:00,1,weekday
handan,fenglin,16:55,1,weekday
fenglin,handan,16:55,1,weekday
handan,fenglin,17:10,1,weekday
fenglin,handan,17:10,1,weekday
fenglin,handan,17:25,1,weekday
handan,fenglin,18:00,1,weekday
fenglin,handan,18:20,1,weekday
handan,fenglin,19:30,1,weekday
handan,fenglin,20:20,2,weekday
fenglin,handan,20:20,1,weekday
fenglin,handan,21:15,1,weekday
handan,fenglin,21:25,2,weekday
fenglin,handan,21:50,1,weekday
handan,fenglin,08:00,1,weekend
fenglin,handan,09:00,1,weekend
handan,fenglin,16:30,1,weekend
fenglin,handan,17:30,1,weekend
jiangwan,handan,07:10,1,weekday
jiangwan,handan,07:20,1,weekday
handan,jiangwan,07:30,1,weekday
jiangwan,handan,07:30,1,weekday
handan,jiangwan,07:40,1,weekday
jiangwan,handan,07:40,1,weekday
jiangwan,handan,07:50,1,weekday
handan,jiangwan,08:00,1,weekday
jiangwan,handan,08:00,1,weekday
jiangwan,handan,08:15,1,weekday
handan,jiangwan,08:30,2,weekday
jiangwan,handan,08:30,1,weekday
jiangwan,handan,08:45,1,weekday
handan,jiangwan,09:00,1,weekday
jiangwan,handan,09:00,2,weekday
jiangwan,handan,09:15,1,weekday
