from,to,time,amount,week
handan,jiangwan,09:30,1,weekday
jiangwan,handan,09:30,1,weekday
handan,jiangwan,10:00,1,weekday
jiangwan,handan,10:00,1,weekday
handan,jiangwan,10:20,1,weekday
jiangwan,handan,10:30,1,weekday
handan,jiangwan,11:00,1,weekday
jiangwan,handan,11:10,1,weekday
handan,jiangwan,11:30,1,weekday
jiangwan,handan,11:40,1,weekday
handan,jiangwan,11:45,1,weekday
handan,jiangwan,12:00,1,weekday
jiangwan,handan,12:00,1,weekday
jiangwan,handan,12:15,1,weekday
handan,jiangwan,12:30,1,weekday
jiangwan,handan,12:30,1,weekday
jiangwan,handan,12:40,1,weekday
handan,jiangwan,13:00,1,weekday
jiangwan,handan,13:00,1,weekday
handan,jiangwan,13:30,1,weekday
jiangwan,handan,13:30,1,weekday
handan,jiangwan,14:00,1,weekday
jiangwan,handan,14:00,1,weekday
handan,jiangwan,14:30,1,weekday
handan,jiangwan,15:00,1,weekday
jiangwan,handan,15:00,2,weekday
jiangwan,handan,15:15,1,weekday
handan,jiangwan,15:30,1,weekday
jiangwan,handan,15:30,1,weekday
handan,jiangwan,16:00,1,weekday
jiangwan,handan,16:00,1,weekday
handan,jiangwan,16:15,1,weekday
handan,jiangwan,16:20,1,weekday
handan,jiangwan,16:30,1,weekday
jiangwan,handan,16:30,1,weekday
jiangwan,handan,16:55,1,weekday
handan,jiangwan,17:00,1,weekday
jiangwan,handan,17:00,1,weekday
jiangwan,handan,17:10,1,weekday
handan,jiangwan,17:15,1,weekday
handan,jiangwan,17:25,1,weekday
jiangwan,handan,17:30,1,weekday
handan,jiangwan,17:35,1,weekday
handan,jiangwan,17:45,1,weekday
handan,jiangwan,18:00,1,weekday
jiangwan,handan,18:00,2,weekday
handan,jiangwan,18:30,1,weekday
jiangwan,handan,19:00,1,weekday
handan,jiangwan,20:00,1,weekday
jiangwan,handan,20:00,1,weekday
handan,jiangwan,20:20,1,weekday
handan,jiangwan,20:30,1,weekday
jiangwan,handan,20:30,1,weekday
handan,jiangwan,20:50,1,weekday
handan,jiangwan,21:00,1,weekday
jiangwan,handan,21:00,1,weekday
handan,jiangwan,21:20,1,weekday
jiangwan,handan,21:20,1,weekday
handan,jiangwan,21:40,1,weekday
jiangwan,handan,21:45,1,weekday
handan,jiangwan,22:00,1,weekday
jiangwan,handan,22:10,1,weekday
handan,jiangwan,22:15,1,weekday
handan,jiangwan,22:30,1,weekday
jiangwan,handan,07:40,1,weekend
jiangwan,handan,08:00,1,weekend
handan,jiangwan,08:20,1,weekend
jiangwan,handan,08:20,1,weekend
handan,jiangwan,08:40,1,weekend
jiangwan,handan,08:40,1,weekend
handan,jiangwan,09:00,1,weekend
jiangwan,handan,09:00,1,weekend
handan,jiangwan,09:20,1,weekend
jiangwan,handan,09:20,1,weekend
handan,jiangwan,09:40,1,weekend
jiangwan,handan,09:40,1,weekend
jiangwan,handan,10:20,1,weekend
handan,jiangwan,17:00,2,weekend
jiangwan,handan,17:30,2,weekend
handan,jiangwan,20:15,1,weekend
jiangwan,handan,20:40,1,weekend
handan,jiangwan,21:00,1,weekend
jiangwan,handan,21:20,1,weekend
handan,jiangwan,21:45,1,weekend
jiangwan,handan,22:10,1,weekend
handan,jiangwan,22:30,1,weekend
handan,zhangjiang,07:10,1,weekday
zhangjiang,handan,07:15,1,weekday
handan,zhangjiang,07:40,1,weekday
handan,zhangjiang,08:00,1,weekday
zhangjiang,handan,08:00,1,weekday
handan,zhangjiang,08:30,1,weekday
zhangjiang,handan,08:40,1,weekday
handan,zhangjiang,09:00,1,weekday
zhangjiang,handan,09:00,1,weekday
handan,zhangjiang,10:00,1,weekday
zhangjiang,handan,10:00,1,weekday
handan,zhangjiang,11:50,1,weekday
zhangjiang,handan,11:50,2,weekday
zhangjiang,handan,12:15,1,weekday
handan,zhangjiang,12:30,1,weekday
zhangjiang,handan,12:40,1,weekday
handan,zhangjiang,12:45,1,weekday
zhangjiang,handan,14:15,1,weekday
handan,zhangjiang,14:30,1,weekday
zhangjiang,handan,15:20,1,weekday
handan,zhangjiang,15:30,1,weekday
zhangjiang,handan,16:00,1,weekday
zhangjiang,handan,16:10,1,weekday
handan,zhangjiang,16:15,1,weekday
zhangjiang,handan,16:20,1,weekday
zhangjiang,handan,16:40,1,weekday
zhangjiang,handan,17:00,1,weekday
zhangjiang,handan,17:20,1,weekday
handan,zhangjiang,17:20,2,weekday
zhangjiang,handan,18:30,1,weekday
handan,zhangjiang,18:30,1,weekday
handan,zhangjiang,20:20,3,weekday
handan,zhangjiang,20:30,1,weekday
handan,zhangjiang,21:00,1,weekday
zhangjiang,handan,21:10,1,weekday
handan,zhangjiang,21:20,2,weekday
handan,zhangjiang,08:30,1,weekend
zhangjiang,handan,09:20,1,weekend
handan,zhangjiang,16:30,1,weekend
zhangjiang,handan,17:30,1,weekend
fenglin,zhangjiang,07:00,1,weekday
fenglin,zhangjiang,07:30,1,weekday
zhangjiang,fenglin,07:50,1,weekday
fenglin,zhangjiang,09:00,1,weekday
fenglin,zhangjiang,12:15,1,weekday
zhangjiang,fenglin,12:15,1,weekday
fenglin,zhangjiang,13:30,1,weekday
zhangjiang,fenglin,15:00,1,weekday
fenglin,zhangjiang,16:30,1,weekday
zhangjiang,fenglin,17:00,1,weekday
fenglin,zhangjiang,19:00,1,weekday
zhangjiang,fenglin,19:00,1,weekday
